wavelength;spectra
190;0.902915957
191;1.006961769
192;1.145071324
193;1.239383636
194;1.429238588
195;1.551183806
196;1.64133769
197;1.675481946
198;1.647137529
199;1.60074463
200;1.541021818
201;1.402654913
202;1.314262058
203;1.118643275
204;0.982267664
205;0.872762347
206;0.692397714
207;0.600285812
208;0.51414594
209;0.468424047
210;0.418189336
211;0.404467551
212;0.376541809
213;0.358986553
214;0.332892993
215;0.302294494
216;0.268356079
217;0.239620968
218;0.222141242
219;0.195547242
220;0.19627544
221;0.193005291
222;0.19373267
223;0.20668676
224;0.2399834
225;0.251176598
226;0.297864633
227;0.314020629
228;0.377783632
229;0.404923019
230;0.435429693
231;0.493745947
232;0.553175248
233;0.604429647
234;0.633041715
235;0.674052954
236;0.695247375
237;0.695000347
238;0.694054485
239;0.681172773
240;0.653430679
241;0.623413643
242;0.579117688
243;0.532726468
244;0.457877544
245;0.41346465
246;0.322744401
247;0.260711354
248;0.213934618
249;0.135432344
250;0.076826627
251;0.049957656
252;0.034156878
253;0.020500646
254;0.014399259
255;0.005804239
256;0.007715203
257;0.007584326
258;0.008064519
259;0.002511311
260;0.003102475
261;-0.000320197
262;0.002980543
263;0.001393842
264;0.003275388
265;-0.001275546
266;0.001334971
267;0.001659298
268;-0.00044031
269;-0.000188752
270;0.001268204
271;-0.000390274
272;-0.001309836
273;0.000907793
274;-0.001285531
275;-0.000410235
276;0.00324125
277;0.000607304
278;-1.92518E-05
279;-1.43225E-05
280;0.001350596
281;-0.001674011
282;-0.00234697
283;0.000160195
284;-0.000312922
285;0.001555521
286;0.002983288
287;0.003344843
288;-0.002415293
289;0.002239266
290;-0.001542496
291;-0.000975609
292;0.000799211
293;-8.31452E-05
294;-0.002557613
295;0.003032832
296;-0.002029887
297;0.001637152
298;-0.002791278
299;-7.11971E-05
300;0.001700256
301;-0.002201246
302;0.002395543
303;0.003142626
304;-1.97972E-05
305;0.002197736
306;-0.001449446
307;-0.001759486
308;-0.002550095
309;-0.003106281
310;0.000908609
311;0.001398025
312;-0.001405458
313;-0.00089245
314;0.001777842
315;-0.001681695
316;-0.002044277
317;0.002944739
318;-0.002468571
319;0.000461696
320;0.001855821
321;0.001401896
322;-0.002529689
323;0.001199526
324;-0.000925844
325;-0.000497129
326;0.002365024
327;0.001804089
328;0.000352378
329;-0.002515005
330;-0.002429007
331;0.003242142
332;0.00057325
333;-0.001200264
334;-0.000754629
335;0.001512328
336;-0.002975538
337;0.00250538
338;0.00131381
339;-0.003248246
340;-0.001660454
341;0.000128445
342;-0.002730291
343;0.003013744
344;-0.002838064
345;-0.001380659
346;-0.001051282
347;-0.00261287
348;0.000767311
349;0.000628293
350;0.000530244
351;-0.002795219
352;0.0005685
353;0.003074826
354;-0.000458637
355;-0.000784749
356;0.001121064
357;0.002064127
358;0.000167231
359;-0.000200834
360;-0.001721591
361;-0.001683508
362;0.002874526
363;-0.000154438
364;-0.001658075
365;-0.003035236
366;0.000919309
367;0.002335788
368;-0.000221382
369;0.001639019
370;-0.000180752
371;0.001257143
372;0.001100908
373;0.000141484
374;-7.93249E-05
375;0.000603972
376;-0.000718948
377;0.001701745
378;5.27855E-05
379;0.003255274
380;0.001036869
381;-0.001582576
382;0.00295466
383;8.06071E-05
384;0.001380672
385;-0.000943062
386;0.001609108
387;-0.001329578
388;-0.002535459
389;0.001687919
390;-0.000686977
391;-0.001507469
392;0.001515448
393;0.000506983
394;0.002753781
395;-0.003201363
396;-0.001524616
397;-0.00127697
398;0.001833068
399;-0.00111185
400;0.001253574
401;0.000558313
402;-0.00228413
403;0.001271212
404;-0.001588178
405;-0.002609421
406;-0.002112663
407;-0.003229692
408;-0.002527223
409;-0.002937557
410;0.002286448
411;-0.002269542
412;0.000293712
413;-0.000164245
414;-0.002018908
415;0.001429631
416;0.001085342
417;0.001901589
418;0.002814669
419;0.000666206
420;-0.001711934
421;-0.00050834
422;0.001936853
423;-0.002371426
424;-0.000981343
425;0.002859099
426;-0.002536244
427;-0.001791565
428;0.001977292
429;-0.000643003
430;-0.002279898
431;0.001626891
432;0.00303206
433;0.001975142
434;0.002435491
435;0.003248494
436;-0.001621789
437;0.00096984
438;0.001242595
439;-0.001834476
440;-0.001012344
441;-0.000863494
442;0.000283253
443;-0.003191569
444;-0.000319288
445;8.57885E-05
446;-0.003147558
447;2.19443E-05
448;-0.000436033
449;0.00124085
450;0.002770439
451;0.001904076
452;-0.003201541
453;0.001618477
454;-0.003107076
455;-0.001586201
456;0.001602635
457;0.003267279
458;0.002360361
459;0.002344111
460;-0.002793494
461;-0.000952857
462;0.00179789
463;-0.000313092
464;0.00161876
465;0.002977622
466;-0.002750195
467;0.001787578
468;0.002251595
469;0.002950283
470;-0.002180019
471;0.000630009
472;-0.000316559
473;-0.000311258
474;0.00218735
475;-0.003130095
476;-0.000210577
477;-0.000374304
478;0.001962804
479;-0.001850876
480;0.000382093
481;0.002491045
482;0.002231738
483;-0.001105404
484;0.001883437
485;0.002192317
486;-0.003164335
487;-0.003006926
488;-0.001166386
489;-0.000135868
490;0.002472386
491;-0.002505916
492;-0.000527831
493;-0.000181887
494;-0.00086333
495;-0.001206119
496;0.000193018
497;-0.002836298
498;-0.003119246
499;0.000967008
500;0.001246413
501;-0.001128106
502;0.003077902
503;0.002575752
504;-0.001065205
505;-0.000905165
506;-0.001220154
507;0.001653744
508;4.40179E-05
509;0.001784004
510;-0.001000419
511;0.00086544
512;-0.000750622
513;0.002644159
514;0.001776481
515;0.00113373
516;-0.002990217
517;-0.002721521
518;-0.002237618
519;0.001236471
520;-0.001616703
521;-0.000614412
522;0.002563911
523;0.002986658
524;0.001255861
525;0.000420468
526;0.000252953
527;0.001928165
528;-0.003050521
529;-0.000158914
530;-0.003324165
531;0.002981942
532;0.002627881
533;0.002368187
534;0.00293561
535;0.001928122
536;0.001715288
537;-0.002498992
538;0.002428651
539;0.002652386
540;-0.00211322
541;-0.000116105
542;0.000416519
543;-0.00044844
544;-0.001313577
545;0.000671805
546;-0.002689517
547;0.002464494
548;0.002232426
549;-0.002729448
550;0.000341207
551;0.0016791
552;0.001132046
553;0.002513403
554;0.000152665
555;-0.000791583
556;-0.003250054
557;-0.001822184
558;0.001493614
559;-0.001545591
560;-0.000201579
561;-0.00142679
562;-0.001491421
563;-0.002401788
564;0.002136821
565;0.001647904
566;-0.000653802
567;-0.001572186
568;0.000526474
569;0.002780712
570;0.002348982
571;0.001479497
572;0.002944863
573;0.002060166
574;0.000360523
575;-0.000279884
576;-0.00170601
577;0.001144445
578;-0.002213241
579;-0.000938058
580;0.00029296
581;0.000624421
582;-0.001041269
583;0.00311921
584;0.00224367
585;-0.001015296
586;-0.000469962
587;0.000607751
588;0.002593052
589;-0.001898843
590;0.002296962
591;0.000549494
592;0.002280353
593;-0.002126821
594;-0.002121764
595;0.000445549
596;0.00257695
597;0.003173896
598;-0.000126342
599;-0.001322214
600;0.002108568
601;-0.002765237
602;-0.0022678
603;0.003108008
604;0.001788764
605;-0.002486047
606;0.001780207
607;0.000350671
608;0.003281259
609;-0.001246008
610;0.001732982
611;0.002201842
612;-0.001616107
613;0.0021958
614;-0.000494548
615;0.002393328
616;0.002834835
617;-0.002970794
618;-0.003174127
619;-0.001676624
620;-0.000956243
621;0.000674928
622;-0.002181312
623;-1.86405E-05
624;-0.001867516
625;-0.00060617
626;0.002693079
627;-0.001574038
628;0.002365397
629;0.00326783
630;0.000939618
631;-0.001536301
632;-0.00122525
633;0.001356653
634;-0.000464708
635;0.001831722
636;-0.001661901
637;0.001797312
638;0.003037706
639;-0.001911738
640;0.001468917
641;-0.002388158
642;-0.002317164
643;0.002853946
644;-0.000402996
645;-0.000261407
