wavelength;25M
190;1.507489542
191;1.549119482
192;1.595978306
193;1.636252729
194;1.616073275
195;1.59689497
196;1.630527126
197;1.588383156
198;1.503951389
199;1.407054904
200;1.28950776
201;1.175883321
202;1.057520307
203;0.93924565
204;0.823358054
205;0.71064797
206;0.624680828
207;0.539064735
208;0.483361528
209;0.439560272
210;0.425770157
211;0.457014338
212;0.441551738
213;0.460682002
214;0.484445905
215;0.513357722
216;0.540468607
217;0.573918509
218;0.601719614
219;0.623160227
220;0.639341635
221;0.659764051
222;0.66872779
223;0.587900788
224;0.686625536
225;0.666021589
226;0.643093854
227;0.623660479
228;0.591371436
229;0.560536944
230;0.519946459
231;0.482636906
232;0.437723917
233;0.39398568
234;0.352897191
235;0.315183356
236;0.272593078
237;0.239170065
238;0.218426638
239;0.192208619
240;0.177893348
241;0.157557978
242;0.151551606
243;0.150692303
244;0.143759307
245;0.145943945
246;0.143515581
247;0.148693676
248;0.157922301
249;0.166151926
250;0.180124774
251;0.192381445
252;0.198107028
253;0.21110409
254;0.226841914
255;0.245300672
256;0.265147222
257;0.279029615
258;0.301809137
259;0.328980074
260;0.358563207
261;0.38475519
262;0.413075126
263;0.441332249
264;0.468100139
265;0.500901251
266;0.532730384
267;0.579718202
268;0.633295726
269;0.656048533
270;0.692939513
271;0.717102335
272;0.762377473
273;0.826904493
274;0.839718514
275;0.867946216
276;0.87743748
277;0.934147554
278;0.983805033
279;1.021012055
280;1.047348723
281;1.07733614
282;1.110053837
283;1.139125008
284;1.163375709
285;1.188827938
286;1.205673574
287;1.232691276
288;1.257531047
289;1.275813308
290;1.292348312
291;1.311599196
292;1.322922559
293;1.337097661
294;1.341238226
295;1.340610175
296;1.334979819
297;1.32648341
298;1.306604658
299;1.286831742
300;1.263619041
301;1.224912522
302;1.179642917
303;1.132247334
304;1.074380589
305;1.029377711
306;0.972130192
307;0.909626772
308;0.841036666
309;0.779978839
310;0.715930024
311;0.650480817
312;0.590535168
313;0.530833894
314;0.475206238
315;0.421108871
316;0.369917559
317;0.316624963
318;0.282592751
319;0.247594737
320;0.219722471
321;0.191188309
322;0.172013901
323;0.151205421
324;0.132071742
325;0.11941051
326;0.108854003
327;0.09754278
328;0.09608959
329;0.084276191
330;0.080898559
331;0.079545049
332;0.073758299
333;0.070916705
334;0.073539076
335;0.071121418
336;0.068897839
337;0.066466228
338;0.067569765
339;0.065661741
340;0.070090147
341;0.069939176
342;0.064938268
343;0.064686387
344;0.070587023
345;0.069702372
346;0.065457828
347;0.061977498
348;0.064727066
349;0.060687812
350;0.059144959
351;0.064423304
352;0.062052886
353;0.063200689
354;0.061471158
355;0.064855182
356;0.059394354
357;0.06291427
358;0.061953355
359;0.063109578
360;0.062309021
361;0.064564068
362;0.064151178
363;0.060409779
364;0.064607509
365;0.064559797
366;0.061988448
367;0.060495133
368;0.061700883
369;0.059713952
370;0.061022087
371;0.06417874
372;0.060370055
373;0.062975465
374;0.059388097
375;0.064564817
376;0.059325121
377;0.058589286
378;0.064036226
379;0.060849465
380;0.061454522
381;0.062808915
382;0.06216898
383;0.059466152
384;0.06360603
385;0.063398696
386;0.059033427
387;0.060555078
388;0.060948048
389;0.06022289
390;0.060383807
391;0.06325995
392;0.058774518
393;0.063909448
394;0.060171971
395;0.059399031
396;0.063827327
397;0.065053876
398;0.061418311
399;0.064591136
400;0.064084915
401;0.059328783
402;0.062257091
403;0.063563288
404;0.061865694
405;0.060408069
406;0.058762437
407;0.061637571
408;0.062142879
409;0.063160712
410;0.064896497
411;0.062850661
412;0.060505053
413;0.063624804
414;0.063285893
415;0.058580536
416;0.061868739
417;0.062037046
418;0.063775225
419;0.063451851
420;0.065067742
421;0.06286099
422;0.059609116
423;0.060973192
424;0.064680797
425;0.059704342
426;0.06211039
427;0.063761731
428;0.063986444
429;0.06239135
430;0.064645925
431;0.059821885
432;0.058825045
433;0.061365526
434;0.064816194
435;0.063272098
436;0.064371176
437;0.063904595
438;0.064556832
439;0.063633295
440;0.058836473
441;0.060681761
442;0.064047255
443;0.061761294
444;0.063414332
445;0.059177735
446;0.063113174
447;0.062960843
448;0.063056666
449;0.059218339
450;0.058993547
451;0.061263367
452;0.058988776
453;0.061193072
454;0.063628058
455;0.060061662
456;0.064576818
457;0.059479486
458;0.063471027
459;0.06140705
460;0.060372657
461;0.061666117
462;0.059290917
463;0.058838259
464;0.063366081
465;0.059004231
466;0.058892107
467;0.059097872
468;0.062533066
469;0.064760721
470;0.062881957
471;0.062712703
472;0.062874511
473;0.062696913
474;0.058804113
475;0.060455592
476;0.060302493
477;0.063074372
478;0.064725234
479;0.064690183
480;0.064360892
481;0.058922469
482;-0.003007877
483;-0.00318711
484;-0.000523885
485;-0.001261964
486;-0.002127218
487;0.002024948
488;0.001771669
489;-0.001727142
490;0.002013259
491;0.001351175
492;-0.001565098
493;-0.000795533
494;-0.000766546
495;-0.001787607
496;0.000197942
497;0.001493956
498;-0.002610919
499;-0.001733593
500;-0.000119758
501;-0.002628445
502;-5.44027E-05
503;0.000395197
504;0.002353147
505;-0.001333337
506;0.001008722
507;-0.002919851
508;-0.000757062
509;0.002481951
510;0.00090769
511;-0.002972938
512;-0.001195494
513;-0.002811348
514;0.003327077
515;0.000330869
516;0.001792649
517;8.35239E-05
518;-0.000247248
519;-0.000809756
520;-0.002619572
521;-0.003263759
522;0.000419862
523;0.002691743
524;0.003168839
525;0.002484674
526;-0.001228782
527;-0.001652158
528;-0.001292276
529;0.002820585
530;0.000370562
531;-0.002843123
532;0.002318888
533;0.003212621
534;-0.001840937
535;-0.002975941
536;-0.000813661
537;-0.002014373
538;0.000841702
539;0.000625256
540;-0.000562419
541;-0.001087059
542;-0.001464091
543;-2.5512E-06
544;-0.000736759
545;-0.001996468
546;0.000821217
547;0.001153824
548;-0.002407001
549;-0.000632326
550;0.000252399
551;0.001455227
552;-0.001843873
553;0.000784007
554;-0.002447855
555;0.003142205
556;0.001193677
557;0.001457059
558;-0.000443502
559;-0.002417535
560;0.001730617
561;-0.00078653
562;0.001699832
563;0.000822375
564;-0.002203461
565;-0.000994041
566;-0.001096953
567;0.001166801
568;0.001958254
569;-0.000754367
570;-0.003072312
571;-0.000662275
572;-0.002681261
573;-0.002228174
574;0.000547442
575;0.003238591
576;-0.000216474
577;0.002649993
578;-0.001617392
579;0.002155987
580;-0.001980008
581;0.001954666
582;-0.001015953
583;-0.001087134
584;-0.001795377
585;-0.000803089
586;0.001794903
587;0.001412677
588;-0.001478827
589;-3.0563E-05
590;-0.003097356
591;-0.002172758
592;-0.00117665
593;0.000633544
594;0.003254791
595;0.002505746
596;0.001020767
597;0.000940278
598;0.001081418
599;-0.001983379
600;0.001566662
601;-0.002965568
602;-0.002059729
603;0.001851333
604;-0.001651412
605;-0.001350612
606;-0.002181241
607;0.00212602
608;0.002308055
609;0.003045109
610;-0.00217062
611;-0.000104799
612;-0.002288047
613;1.96346E-05
614;0.000320302
615;0.001579823
616;0.00132749
617;0.001019955
618;0.0024748
619;-0.001137176
620;0.002228192
621;0.003067825
622;0.0018704
623;-0.00145341
624;-0.003322836
625;0.000975702
626;-0.000606464
627;0.003216098
628;-0.002814108
629;0.001289016
630;0.000728482
631;-0.002020145
632;0.00329664
633;0.002814529
634;-0.002812796
635;-0.001121463
636;0.001662029
637;0.002358549
638;-0.000642617
639;-0.000775178
640;0.001114423
641;0.000426301
642;-0.002072993
643;-0.003021162
644;-0.003283585
645;-0.00252228
